Date,Time,Group nr.,Total,Lying ad.m,Lying ad.f,Lying y,Lying us,Feed ad.m,Feed ad.f,Feed y,Feed us,Other ad.m,Other ad.f,Other y,Other us,,,,,,,
25-Mar,07:00,3,2,0,0,1,0,0,0,1,0,0,0,0,0,,,,,,,
25-Mar,07:10,1,5,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,07:10,2,3,0,0,0,0,1,1,1,0,0,0,0,0,,,,,,,
25-Mar,07:10,3,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,07:10,4,5,0,0,0,0,0,5,0,0,0,0,0,0,,,,,,,
25-Mar,07:20,2,8,0,5,0,0,1,1,1,0,0,0,0,0,,,,,,,
25-Mar,07:20,3,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,07:20,4,5,0,1,0,0,0,4,0,0,0,0,0,0,,,,,,,
25-Mar,07:20,5,6,0,0,0,0,0,0,0,6,0,0,0,0,,,,,,,
25-Mar,07:30,2,8,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
25-Mar,07:30,3,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,07:30,4,4,0,1,0,0,0,3,0,0,0,0,0,0,,,,,,,
25-Mar,07:30,5,6,0,0,0,0,0,0,0,6,0,0,0,0,,,,,,,
25-Mar,07:40,2,8,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
25-Mar,07:40,3,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,07:40,4,4,0,0,0,0,0,3,0,0,0,1,0,0,,,,,,,
25-Mar,07:40,5,5,0,0,0,0,0,0,0,5,0,0,0,0,,,,,,,
25-Mar,07:40,6,2,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,07:50,2,8,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,07:50,3,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,07:50,4,4,0,0,0,0,0,2,0,0,0,2,0,0,,,,,,,
25-Mar,07:50,5,6,0,1,0,0,0,3,0,0,1,1,0,0,,,,,,,
25-Mar,07:50,6,2,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,08:00,2,8,1,2,1,0,0,0,0,0,0,4,0,0,,,,,,,
25-Mar,08:00,3,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,08:00,4,4,0,0,0,0,0,4,0,0,0,0,0,0,,,,,,,
25-Mar,08:00,5,6,0,0,0,0,0,2,0,0,1,3,0,0,,,,,,,
25-Mar,08:00,6,2,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,08:10,2,8,1,5,1,0,0,1,0,0,0,0,0,0,,,,,,,
25-Mar,08:10,3,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,08:10,4,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
25-Mar,08:10,5,6,1,1,0,0,0,4,0,0,0,0,0,0,,,,,,,
25-Mar,08:10,6,2,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,08:20,2,8,1,4,1,0,0,2,0,0,0,0,0,0,,,,,,,
25-Mar,08:20,3,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,08:20,4,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
25-Mar,08:20,5,6,0,1,0,0,0,3,0,0,1,1,0,0,,,,,,,
25-Mar,08:20,6,2,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,08:20,7,2,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,08:30,2,8,0,5,1,0,0,1,0,0,1,0,0,0,,,,,,,
25-Mar,08:30,3,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,08:30,4,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
